cliente,id_requisicao,latencia_ms,status,timestamp
0,0,1.3017654418945312,200,1761071277.0341156
3,0,0.6773471832275391,200,1761071277.0341902
2,0,0.8194446563720703,200,1761071277.0342717
1,0,1.3306140899658203,200,1761071277.034313
4,0,0.7035732269287109,200,1761071277.0344522
0,1,0.5290508270263672,200,1761071277.0348306
3,1,0.4940032958984375,200,1761071277.0349593
4,1,0.5707740783691406,200,1761071277.0351596
2,1,0.6804466247558594,200,1761071277.0352337
1,1,0.7488727569580078,200,1761071277.0353951
0,2,0.5974769592285156,200,1761071277.0355241
3,2,0.64849853515625,200,1761071277.03577
4,2,0.6222724914550781,200,1761071277.0359054
2,2,0.6620883941650391,200,1761071277.0360339
1,2,0.6780624389648438,200,1761071277.0361896
0,3,0.6718635559082031,200,1761071277.0363126
3,3,0.5941390991210938,200,1761071277.0365095
4,3,0.5698204040527344,200,1761071277.0366151
2,3,0.5972385406494141,200,1761071277.0367923
1,3,0.5609989166259766,200,1761071277.0369227
3,4,0.518798828125,200,1761071277.0371785
0,4,0.7672309875488281,200,1761071277.0373085
4,4,0.6299018859863281,200,1761071277.0373406
2,4,0.5917549133300781,200,1761071277.037557
3,5,0.3478527069091797,200,1761071277.0376701
1,4,0.514984130859375,200,1761071277.0378444
0,5,0.34880638122558594,200,1761071277.0379376
4,5,0.48279762268066406,200,1761071277.038067
2,5,0.4801750183105469,200,1761071277.0382895
3,6,0.5614757537841797,200,1761071277.0383918
1,5,0.530242919921875,200,1761071277.0385191
0,6,0.6709098815917969,200,1761071277.0387273
4,6,0.6494522094726562,200,1761071277.0388227
2,6,0.5066394805908203,200,1761071277.0389543
3,7,0.5905628204345703,200,1761071277.0390875
1,6,0.5714893341064453,200,1761071277.0391815
0,7,0.5314350128173828,200,1761071277.0393777
4,7,0.5567073822021484,200,1761071277.039469
2,7,0.5340576171875,200,1761071277.039611
3,8,0.5822181701660156,200,1761071277.0397744
1,7,0.6198883056640625,200,1761071277.0398884
0,8,0.5519390106201172,200,1761071277.0400476
4,8,0.5383491516113281,200,1761071277.040165
2,8,0.5395412445068359,200,1761071277.0403018
3,9,0.5564689636230469,200,1761071277.04043
1,8,0.6022453308105469,200,1761071277.0405817
0,9,0.5512237548828125,200,1761071277.0406942
4,9,0.499725341796875,200,1761071277.0408006
2,9,0.5061626434326172,200,1761071277.0409331
3,10,0.4832744598388672,200,1761071277.0410576
1,9,0.5483627319335938,200,1761071277.0412195
0,10,0.5207061767578125,200,1761071277.0413475
4,10,0.5645751953125,200,1761071277.0414548
2,10,0.5524158477783203,200,1761071277.0416033
1,10,0.4601478576660156,200,1761071277.0417838
3,11,0.5397796630859375,200,1761071277.0419087
4,11,0.5254745483398438,200,1761071277.0420852
0,11,0.6725788116455078,200,1761071277.042133
1,11,0.3936290740966797,200,1761071277.0422432
2,11,0.49304962158203125,200,1761071277.0425465
3,12,0.6072521209716797,200,1761071277.0426388
0,12,0.5965232849121094,200,1761071277.0428567
1,12,0.6320476531982422,200,1761071277.042983
4,12,0.7162094116210938,200,1761071277.0430722
2,12,0.5090236663818359,200,1761071277.0431778
3,13,0.5910396575927734,200,1761071277.043324
0,13,0.5028247833251953,200,1761071277.0434563
1,13,0.5910396575927734,200,1761071277.0437107
4,13,0.553131103515625,200,1761071277.043739
2,13,0.49877166748046875,200,1761071277.0438795
3,14,0.6086826324462891,200,1761071277.044023
0,14,0.5543231964111328,200,1761071277.0441804
4,14,0.42176246643066406,200,1761071277.0442755
1,14,0.5636215209960938,200,1761071277.044412
2,14,0.5075931549072266,200,1761071277.0445623
3,15,0.5235671997070312,200,1761071277.044665
0,15,0.4990100860595703,200,1761071277.0448217
4,15,0.6091594696044922,200,1761071277.0449681
1,15,0.4889965057373047,200,1761071277.0450594
2,15,0.5192756652832031,200,1761071277.0452316
3,16,0.5681514739990234,200,1761071277.0453372
0,16,0.4475116729736328,200,1761071277.0454485
4,16,0.5273818969726562,200,1761071277.045615
1,16,0.5776882171630859,200,1761071277.0457475
2,16,0.49185752868652344,200,1761071277.0458765
3,17,0.5431175231933594,200,1761071277.045983
0,17,0.5462169647216797,200,1761071277.0461352
4,17,0.5424022674560547,200,1761071277.0462582
1,17,0.4210472106933594,200,1761071277.0463583
2,17,0.47016143798828125,200,1761071277.046508
3,18,0.5664825439453125,200,1761071277.046648
0,18,0.5118846893310547,200,1761071277.0467947
4,18,0.5140304565429688,200,1761071277.046892
1,18,0.5319118499755859,200,1761071277.0470614
2,18,0.484466552734375,200,1761071277.0471215
3,19,0.4978179931640625,200,1761071277.0472496
0,19,0.47278404235839844,200,1761071277.0474021
4,19,0.5891323089599609,200,1761071277.0475698
1,19,0.530242919921875,200,1761071277.0476854
2,19,0.6098747253417969,200,1761071277.0478466
