client,req_id,latency_ms,status,ts
1,0,0.6196498870849609,200,1760930742.0223298
0,0,0.8769035339355469,200,1760930742.0223882
2,0,0.6072521209716797,200,1760930742.022541
3,0,0.7326602935791016,200,1760930742.0227554
4,0,0.7278919219970703,200,1760930742.0230439
1,1,0.9648799896240234,200,1760930742.0233703
0,1,1.1296272277832031,200,1760930742.023574
2,1,1.1725425720214844,200,1760930742.0237653
3,1,1.1751651763916016,200,1760930742.0239785
4,1,0.9980201721191406,200,1760930742.0241086
1,2,0.9298324584960938,200,1760930742.0243545
0,2,0.9043216705322266,200,1760930742.02453
3,2,0.7717609405517578,200,1760930742.0247915
2,2,1.0406970977783203,200,1760930742.024852
4,2,0.8533000946044922,200,1760930742.0249972
1,3,0.774383544921875,200,1760930742.0251904
0,3,0.8544921875,200,1760930742.0254269
3,3,0.8046627044677734,200,1760930742.0256388
2,3,0.9138584136962891,200,1760930742.0258431
4,3,0.9796619415283203,200,1760930742.0260165
1,4,0.9090900421142578,200,1760930742.0261526
0,4,0.9613037109375,200,1760930742.0264332
3,4,0.8733272552490234,200,1760930742.0265598
2,4,0.8330345153808594,200,1760930742.0267258
4,4,0.9305477142333984,200,1760930742.026983
1,5,0.9682178497314453,200,1760930742.0271735
0,5,0.8275508880615234,200,1760930742.027315
3,5,0.865936279296875,200,1760930742.0274725
2,5,0.8704662322998047,200,1760930742.0276444
4,5,0.77056884765625,200,1760930742.02779
1,6,0.8223056793212891,200,1760930742.0280426
0,6,0.7722377777099609,200,1760930742.0281372
3,6,0.7486343383789062,200,1760930742.028268
2,6,0.8237361907958984,200,1760930742.028517
4,6,0.8077621459960938,200,1760930742.028639
1,7,0.7197856903076172,200,1760930742.02881
0,7,0.8046627044677734,200,1760930742.0289872
2,7,0.7381439208984375,200,1760930742.0292964
4,7,0.7152557373046875,200,1760930742.0293972
3,7,1.1811256408691406,200,1760930742.0295007
1,8,0.8637905120849609,200,1760930742.029715
0,8,0.7989406585693359,200,1760930742.0298314
2,8,0.6172657012939453,200,1760930742.0299597
4,8,0.7579326629638672,200,1760930742.0302074
3,8,0.7569789886474609,200,1760930742.0303056
1,9,0.7977485656738281,200,1760930742.0305567
0,9,0.7863044738769531,200,1760930742.030662
2,9,0.8528232574462891,200,1760930742.030862
4,9,0.8022785186767578,200,1760930742.0310555
3,9,0.8955001831054688,200,1760930742.0312426
1,10,0.7479190826416016,200,1760930742.031348
0,10,0.8549690246582031,200,1760930742.0315676
2,10,0.8234977722167969,200,1760930742.0317364
4,10,0.8769035339355469,200,1760930742.031979
3,10,0.8077621459960938,200,1760930742.032098
1,11,0.8184909820556641,200,1760930742.0322165
0,11,0.6873607635498047,200,1760930742.0323179
2,11,0.8590221405029297,200,1760930742.0326447
4,11,0.6966590881347656,200,1760930742.0327246
3,11,0.7612705230712891,200,1760930742.0329037
1,12,0.7388591766357422,200,1760930742.0329986
0,12,0.9076595306396484,200,1760930742.0332754
2,12,0.7748603820800781,200,1760930742.0334687
4,12,0.797271728515625,200,1760930742.0335846
3,12,0.9107589721679688,200,1760930742.0339046
1,13,0.9877681732177734,200,1760930742.0340383
0,13,0.8356571197509766,200,1760930742.034158
2,13,0.80108642578125,200,1760930742.0343075
4,13,0.91552734375,200,1760930742.0345476
1,14,0.7078647613525391,200,1760930742.0347931
3,13,0.9152889251708984,200,1760930742.0348804
0,14,0.7529258728027344,200,1760930742.0349598
2,14,0.7445812225341797,200,1760930742.0350847
4,14,0.7414817810058594,200,1760930742.0353334
1,15,0.8068084716796875,200,1760930742.0356498
3,14,0.8568763732910156,200,1760930742.035791
0,15,0.8840560913085938,200,1760930742.0359042
2,15,0.9679794311523438,200,1760930742.036096
4,15,0.9105205535888672,200,1760930742.036294
1,16,0.7624626159667969,200,1760930742.036454
3,15,0.8153915405273438,200,1760930742.036647
0,16,0.8792877197265625,200,1760930742.0368347
2,16,0.8039474487304688,200,1760930742.0369494
4,16,0.7269382476806641,200,1760930742.0370693
1,17,0.8785724639892578,200,1760930742.0374072
3,16,0.79345703125,200,1760930742.037487
0,17,0.7901191711425781,200,1760930742.0376709
2,17,0.9219646453857422,200,1760930742.0379114
4,17,0.9050369262695312,200,1760930742.0380216
1,18,0.6971359252929688,200,1760930742.0381477
3,17,0.7767677307128906,200,1760930742.0383122
0,18,0.885009765625,200,1760930742.0386047
2,18,0.7748603820800781,200,1760930742.038729
4,18,0.8533000946044922,200,1760930742.03892
1,19,0.8420944213867188,200,1760930742.0390348
3,18,0.8897781372070312,200,1760930742.0392425
0,19,0.8037090301513672,200,1760930742.0394518
2,19,0.7748603820800781,200,1760930742.0395486
4,19,0.8223056793212891,200,1760930742.039784
3,19,0.6215572357177734,200,1760930742.0399053
