client,req_id,latency_ms,status,ts
0,0,-1,0,1760931263.4789028
0,1,-1,0,1760931263.479161
2,0,-1,0,1760931263.479436
0,2,-1,0,1760931263.4794524
1,0,-1,0,1760931263.479477
3,0,-1,0,1760931263.479551
4,0,-1,0,1760931263.4796412
2,1,-1,0,1760931263.4796734
1,1,-1,0,1760931263.4796972
0,3,-1,0,1760931263.4797163
3,1,-1,0,1760931263.4797387
2,2,-1,0,1760931263.4798255
3,2,-1,0,1760931263.4798462
0,4,-1,0,1760931263.4798899
4,1,-1,0,1760931263.479903
1,2,-1,0,1760931263.4799213
3,3,-1,0,1760931263.4799416
1,3,-1,0,1760931263.4800184
4,2,-1,0,1760931263.4800286
2,3,-1,0,1760931263.4800642
0,5,-1,0,1760931263.4801042
4,3,-1,0,1760931263.480128
3,4,-1,0,1760931263.4801462
4,4,-1,0,1760931263.4802094
1,4,-1,0,1760931263.4802186
3,5,-1,0,1760931263.4802394
2,4,-1,0,1760931263.480269
0,6,-1,0,1760931263.480294
3,6,-1,0,1760931263.4803343
2,5,-1,0,1760931263.480385
4,5,-1,0,1760931263.4804053
1,5,-1,0,1760931263.480427
3,7,-1,0,1760931263.4804993
0,7,-1,0,1760931263.480511
1,6,-1,0,1760931263.4805222
4,6,-1,0,1760931263.4805603
2,6,-1,0,1760931263.480632
1,7,-1,0,1760931263.4806447
4,7,-1,0,1760931263.480685
0,8,-1,0,1760931263.480709
3,8,-1,0,1760931263.4807355
2,7,-1,0,1760931263.4808018
4,8,-1,0,1760931263.4808483
1,8,-1,0,1760931263.4808633
3,9,-1,0,1760931263.4809034
2,8,-1,0,1760931263.4809194
0,9,-1,0,1760931263.480956
4,9,-1,0,1760931263.4809766
1,9,-1,0,1760931263.481013
4,10,-1,0,1760931263.4810696
3,10,-1,0,1760931263.4810834
2,9,-1,0,1760931263.4811134
0,10,-1,0,1760931263.4811623
4,11,-1,0,1760931263.4811838
1,10,-1,0,1760931263.4811935
2,10,-1,0,1760931263.4812515
3,11,-1,0,1760931263.4812853
0,11,-1,0,1760931263.481312
1,11,-1,0,1760931263.4813337
4,12,-1,0,1760931263.4813612
3,12,-1,0,1760931263.4814603
1,12,-1,0,1760931263.4814985
0,12,-1,0,1760931263.4815083
4,13,-1,0,1760931263.4815297
2,11,-1,0,1760931263.4815547
3,13,-1,0,1760931263.4815753
1,13,-1,0,1760931263.4816139
2,12,-1,0,1760931263.481686
4,14,-1,0,1760931263.4816964
3,14,-1,0,1760931263.4817317
1,14,-1,0,1760931263.4817686
4,15,-1,0,1760931263.481791
3,15,-1,0,1760931263.4818144
0,13,-1,0,1760931263.4818437
1,15,-1,0,1760931263.4819093
0,14,-1,0,1760931263.4819293
3,16,-1,0,1760931263.4819405
4,16,-1,0,1760931263.4819882
1,16,-1,0,1760931263.4820266
2,13,-1,0,1760931263.4820507
3,17,-1,0,1760931263.482072
0,15,-1,0,1760931263.4821026
4,17,-1,0,1760931263.4821324
1,17,-1,0,1760931263.4821706
2,14,-1,0,1760931263.482181
3,18,-1,0,1760931263.4822245
4,18,-1,0,1760931263.4822536
1,18,-1,0,1760931263.4823065
2,15,-1,0,1760931263.4823318
3,19,-1,0,1760931263.4823458
1,19,-1,0,1760931263.4824116
0,16,-1,0,1760931263.4824414
4,19,-1,0,1760931263.4824643
2,16,-1,0,1760931263.4824872
0,17,-1,0,1760931263.4825222
2,17,-1,0,1760931263.4825583
0,18,-1,0,1760931263.4825943
2,18,-1,0,1760931263.4826252
0,19,-1,0,1760931263.4826677
2,19,-1,0,1760931263.4827175
